SENTTOT,SENTTOT0,CITIZEN,CITWHERE,CRIMHIST,DISTRICT,DOBMON,EDUCATN,ENCRYPT2,HISPORIG,INOUT,NEWRACE,OFFTYPSB,SENTIMP,SENTMON,DOBYR,SENTYR
60,60,1,211,0,65,2,11,0,1,,1,10,1,10,1993,2016
18,18,3,49,0,42,1,34,0,2,,3,10,1,10,1957,2016
0.85,0.85,3,37,1,84,9,0,0,2,0,3,27,1,10,1977,2016
57,57,1,211,1,49,6,21,0,1,,1,10,1,10,1973,2016
48,48,1,211,1,82,12,21,0,1,,2,13,1,10,1964,2016
32,32,1,211,1,83,4,21,0,1,,2,13,1,10,1981,2016
13.03,13.03,3,49,1,70,2,9,0,2,,3,27,1,10,1986,2016
0.07,0.07,3,37,0,64,1,6,0,2,0,3,27,1,10,1983,2016
144,144,3,49,1,30,12,11,0,2,,3,10,1,10,1974,2016
126,126,1,211,1,68,5,10,0,2,,3,10,1,10,1979,2016
24,24,3,37,1,17,7,4,0,2,,3,18,1,10,1987,2016
0.82,0.82,3,31,1,84,4,34,0,2,0,3,27,1,10,1991,2016
54,54,1,211,1,17,2,34,0,1,,2,18,1,10,1981,2016
1.64,1.64,3,49,1,84,5,9,0,2,0,3,27,1,10,1973,2016
100,100,1,211,1,82,1,21,0,1,,2,5,1,10,1989,2016
32,32,1,211,1,45,4,21,0,1,,2,13,1,10,1982,2016
120,120,1,211,1,47,12,9,0,1,,2,13,1,10,1983,2016
,0,1,211,1,12,10,21,0,1,,1,17,4,10,1940,2016
4.92,4.92,3,30,1,41,11,8,0,2,0,3,27,1,10,1975,2016
220,220,1,211,1,76,7,21,0,1,,1,10,1,10,1976,2016
15,15,1,211,1,68,6,21,0,1,,6,29,1,10,1979,2016
71,71,1,211,1,83,2,6,0,2,,3,10,1,10,1957,2016
155,155,1,211,1,41,2,21,0,1,,2,13,1,10,1995,2016
207,207,1,211,1,41,10,12,0,1,,2,13,1,10,1993,2016
2,2,3,49,1,84,7,11,0,2,0,3,27,1,10,1974,2016
71,71,1,211,1,76,6,21,0,1,,1,10,1,10,1968,2016
53,53,3,49,1,20,5,8,0,2,,3,10,1,10,1976,2016
24,24,1,211,1,76,7,34,0,1,,1,13,1,10,1971,2016
0.76,0.76,3,49,1,84,8,12,0,2,0,3,27,1,10,1970,2016
72,72,1,211,1,45,9,34,0,1,,1,28,1,10,1984,2016
,0,3,37,,83,10,,0,2,0,3,27,1,10,1990,2016
,0,1,211,,29,7,,0,1,,1,35,4,10,1986,2016
36,36,3,49,0,70,9,7,0,2,,3,10,1,10,1987,2016
36,36,4,30,1,14,2,12,0,2,,3,10,1,10,1983,2016
9,9,3,49,0,70,1,5,0,2,0,3,27,1,10,1994,2016
24,24,3,49,1,42,10,21,0,2,,3,27,1,10,1986,2016
1.66,1.66,3,49,1,84,10,5,0,2,0,3,27,1,10,1987,2016
12.03,12.03,3,49,1,42,5,10,0,2,,3,27,1,10,1989,2016
15,15,1,211,1,54,9,21,0,2,,3,18,1,10,1988,2016
15,15,1,211,1,41,8,10,0,2,,3,27,1,10,1982,2016
,0,1,211,,22,6,,0,1,1,1,12,4,10,1995,2016
41,41,3,49,1,70,8,5,0,2,,3,27,1,10,1987,2016
5.78,5.78,3,49,1,84,5,6,0,2,0,3,27,1,10,1991,2016
80,80,1,211,1,20,5,21,0,2,,3,3,1,10,1979,2016
1.91,1.91,3,49,1,84,9,21,0,2,0,3,27,1,10,1990,2016
24,24,1,211,1,55,4,34,0,1,,2,17,1,10,1975,2016
24,24,2,49,1,70,4,8,0,2,,3,27,1,10,1972,2016
78,78,1,211,1,20,1,21,0,2,,3,3,1,10,1964,2016
1.43,1.43,3,49,1,84,12,8,0,2,0,3,27,1,10,1988,2016
150,150,3,49,1,76,2,12,0,2,,3,10,1,10,1988,2016
2,2,3,37,1,84,2,3,0,2,0,3,27,1,10,1992,2016
70,70,1,211,1,66,6,34,0,0,,2,10,1,10,1969,2016
70,70,1,211,1,83,5,21,0,1,,2,13,1,10,1990,2016
135,135,3,49,1,76,12,12,0,2,,3,10,1,10,1992,2016
180,180,1,211,1,30,4,21,0,1,,2,13,1,10,1983,2016
9.62,9.62,1,211,1,87,3,21,0,1,0,2,18,1,10,1967,2016
,0,1,211,,31,1,,0,2,,3,18,1,10,1940,2016
220,220,1,211,1,31,11,34,0,1,,1,18,1,10,1942,2016
30,30,3,49,1,16,10,10,0,2,,3,18,1,10,1985,2016
216,216,1,211,1,68,8,12,0,1,,1,10,1,10,1977,2016
3,3,3,49,1,84,3,9,0,2,0,3,27,1,10,1970,2016
,0,1,211,1,66,7,16,0,0,,1,10,4,10,1977,2016
